GEOID,Mileage.M,Mileage.I,Mileage.U,Mileage.S,Mileage.O,Mileage.C
1001020802,,12791.1781764884,,,,
1001020900,,17618.6711437729,,,,
1003010100,,,,,,
1003010200,,16764.6545957074,,,,
1003010300,,,,,,
1003010400,,17988.2632961133,,,,
1003010703,,,,,,
1003010704,,,,,,
1003010705,,,,,,
1003010904,,9539.70618160472,,,,
1009050601,,,,,,
1013952700,,8471.68684996495,,,,
1013952900,,4551.82682615349,,,,
1013953100,,,,,,
1013953300,,18229.1910591413,,,,
1013953400,,,,,,
1015001100,,6151.95021955569,,,,
1015001201,,,,,,
1015002000,,,,,,
1017954300,,5137.92322238261,,,,
1017954400,,,,,,
1017954600,,,,,,
1021060101,,,,,,
1021060102,,5470.0936122982,,,,
1021060200,,11170.9363304606,,,,
1021060300,,19448.3588841248,,,,
1021060401,,5405.14052988971,,,,
1021060700,,,,,,
1029959600,,4572.09536728776,,,,
1029959700,,23687.7117599458,,,,
1029959800,,,,,,
1035960200,,,,,,
1035960300,,,,,,
1035960400,,14862.9637818682,,,,
1035960500,,9407.10432928924,,,,
1043964300,,,,,,
1043964400,,6552.68063869612,,,,
1043964700,,,,,,
1043964800,,,,,,
1043964900,,,,,,
1043965401,,,,,,
1043965402,,,,,,
1043965500,,8170.57564742548,,,,
1049960800,,11980.3657707942,,,,
1049960900,,13197.4176109811,,,,
1049961100,,,,,,
1049961200,,11016.1779156251,,,,
1049961400,,,,,,
1051031300,,8617.26277755742,,,,
1053969900,,,,,,
1053970300,,8485.64448547598,,,,
1053970400,,24033.5672726938,,,,
1053970500,,16848.9157628118,,,,
1055000400,,9554.83114821996,,,,
1055000900,,1496.89048871498,,,,
1055001200,,,,,,
1055010100,,,,,,
1055010200,,6934.03482270089,,,,
1055010300,,,,,,
1055010402,,,,,,
1055010800,,,,,,
1055010900,,19995.8937928708,,,,
1063060100,,95901.6818433025,,,,
1063060200,,,,,,
1073000100,,,,,,
1073000300,,,,,,
1073000500,,,,,,
1073000800,,,,,,
1073001500,,,,,,
1073001600,,,,,,
1073001902,,,,,,
1073002400,,,,,,
1073002700,,,,,,
1073002900,,,,,,
1073003100,,,,,,
1073003200,,,,,,
1073005103,,,,,,
1073005903,,4123.25130846018,,,,
1073010602,,,,,,
1073010803,,,,,,
1073010805,,,,,,
1073011002,,6931.75728365464,,,,
1073011104,,,,,,
1073011107,,,,,,
1073011108,,4622.29417942343,,,,
1073011109,,,,,,
1073011111,,,,,,
1073011400,,10333.9725262932,,,,
1073011703,,5391.84665570558,,,,
1073011704,,12075.3537606963,,,,
1073012002,,,,,,
1073012602,,,,,,
1073012701,,2472.39537990101,,,,
1073012703,,,,,,
1073012704,,,,,,
1073012803,,,,,,
1073012907,,,,,,
1073012912,,,,,,
1073013400,,,,,,
1073013801,,20149.9878327984,,,,
1073014102,,,,,,
