lat,lon,polygon,GEOID
34.2483191527193,-118.387971374344,8867,06037121102
34.052542,-118.448504,6505,06037265520
34.040539,-118.271387,5076,06037224010
34.059133,-118.248589,9618,06037207400
33.759802,-118.096665,5400,06037980007
33.770508,-118.265628,10905,06037294830
34.30309,-118.480505,10087,06037980022
34.066801,-118.227605,9648,06037206010
34.036777,-118.368841,10916,06037270300
34.06872,-118.064,11487,06037433101
34.039736,-118.236065,10009,06037206031
32.89947,-117.243,,
34.221665,-118.468371,5573,06037117408
33.909914,-117.459053,7369,06065031601
34.14762,-118.147111,9043,06037461902
34.145138,-118.152655,4407,06037463700
34.145119,-118.150133,4332,06037463602
33.7637,-118.192,6063,06037576001
33.94325,-118.403342,8447,06037980028
34.241116,-118.556708,4081,06037113301
34.07122,-117.575,8725,06071002109
34.228315,-119.170865,8401,06111003100
33.824004,-116.543589,3830,06065941400
37.700187,-121.876172,5544,06001450744
34.0189,-117.38,8702,06065040101
38.69005,-121.58889,8429,06067007101
34.017081,-118.44704,10051,06037702300
34.010021,-118.49583,8141,06037701902
34.156839,-118.434454,6310,06037128702
34.211366,-118.448346,5174,06037127102
33.94756,-118.153806,9226,06037551401
37.80619,-122.4152,7982,06075010100
38.599693,-121.427045,10700,06067005502
37.78881,-122.401,10193,06075061500
37.791791,-122.411265,11055,06075011200
34.076264,-118.377527,5140,06037194500
34.057657,-118.24789,9618,06037207400
34.248959,-118.523887,5035,06037115103
34.241687,-118.528543,5035,06037115103
34.236853,-118.532588,5035,06037115103
34.22947,-118.544934,10238,06037115404
33.740758,-118.28192,5733,06037296220
34.293717,-118.449219,6319,06037107020
34.077588,-118.474585,8351,06037262302
34.145528,-118.050548,5526,06037430701
34.13556,-117.864,4314,06037401102
33.9826,-118.3966,6326,06037703001
34.029971,-118.385231,5065,06037270200
33.777054,-117.870566,10695,06059076000
34.1665760166028,-119.045854662705,9540,06111005700
33.919899,-117.898618,9020,06059001503
34.192178,-118.934793,8663,06111006100
34.418322,-119.3368,6585,06111001001
34.105275,-117.809208,9703,06037401311
