year,state,state_po,county_name,county_fips,party,candidatevotes,totalvotes
2016,ALABAMA,AL,AUTAUGA,1001,DEMOCRAT,5936,24973
2016,ALABAMA,AL,AUTAUGA,1001,REPUBLICAN,18172,24973
2016,ALABAMA,AL,BALDWIN,1003,DEMOCRAT,18458,95215
2016,ALABAMA,AL,BALDWIN,1003,REPUBLICAN,72883,95215
2016,ALABAMA,AL,BARBOUR,1005,DEMOCRAT,4871,10469
2016,ALABAMA,AL,BARBOUR,1005,REPUBLICAN,5454,10469
2016,ALABAMA,AL,BIBB,1007,DEMOCRAT,1874,8819
2016,ALABAMA,AL,BIBB,1007,REPUBLICAN,6738,8819
2016,ALABAMA,AL,BLOUNT,1009,DEMOCRAT,2156,25588
2016,ALABAMA,AL,BLOUNT,1009,REPUBLICAN,22859,25588
2016,ALABAMA,AL,BULLOCK,1011,DEMOCRAT,3530,4710
2016,ALABAMA,AL,BULLOCK,1011,REPUBLICAN,1140,4710
2016,ALABAMA,AL,BUTLER,1013,DEMOCRAT,3726,8732
2016,ALABAMA,AL,BUTLER,1013,REPUBLICAN,4901,8732
2016,ALABAMA,AL,CALHOUN,1015,DEMOCRAT,13242,47864
2016,ALABAMA,AL,CALHOUN,1015,REPUBLICAN,32865,47864
2016,ALABAMA,AL,CHAMBERS,1017,DEMOCRAT,5784,13900
2016,ALABAMA,AL,CHAMBERS,1017,REPUBLICAN,7843,13900
2016,ALABAMA,AL,CHEROKEE,1019,DEMOCRAT,1547,10733
2016,ALABAMA,AL,CHEROKEE,1019,REPUBLICAN,8953,10733
2016,ALABAMA,AL,CHILTON,1021,DEMOCRAT,2911,18369
2016,ALABAMA,AL,CHILTON,1021,REPUBLICAN,15081,18369
2016,ALABAMA,AL,CHOCTAW,1023,DEMOCRAT,3109,7292
2016,ALABAMA,AL,CHOCTAW,1023,REPUBLICAN,4106,7292
2016,ALABAMA,AL,CLARKE,1025,DEMOCRAT,5749,13031
2016,ALABAMA,AL,CLARKE,1025,REPUBLICAN,7140,13031
2016,ALABAMA,AL,CLAY,1027,DEMOCRAT,1237,6624
2016,ALABAMA,AL,CLAY,1027,REPUBLICAN,5245,6624
2016,ALABAMA,AL,CLEBURNE,1029,DEMOCRAT,684,6593
2016,ALABAMA,AL,CLEBURNE,1029,REPUBLICAN,5764,6593
2016,ALABAMA,AL,COFFEE,1031,DEMOCRAT,4221,20767
2016,ALABAMA,AL,COFFEE,1031,REPUBLICAN,15875,20767
2016,ALABAMA,AL,COLBERT,1033,DEMOCRAT,7312,24915
2016,ALABAMA,AL,COLBERT,1033,REPUBLICAN,16746,24915
2016,ALABAMA,AL,CONECUH,1035,DEMOCRAT,3080,6585
2016,ALABAMA,AL,CONECUH,1035,REPUBLICAN,3420,6585
2016,ALABAMA,AL,COOSA,1037,DEMOCRAT,1782,5252
