date,california,colorado,florida,massachusetts,minnesota,newyork,ohio,texas,washington,alabama,mississippi,louisiana,arkansas,newmexico,maine,vermont,newhampshire,connecticut,rhodeisland,pennsylvania,maryland,newjersey,delaware,westvirginia,virginia,northcarolina,southcarolina,georgia,northdakota,southdakota,nebraska,kansas,oklahoma,iowa,missouri,wisconsin,illinois,indiana,michigan,kentucky,tennessee,montana,idaho,wyoming,utah,oregon,nevada,arizona,alaska,hawaii
Jun-2000,1.669,1.636,,,1.757,1.702,,1.54,,1.54,1.54,1.54,1.54,1.54,1.661,1.54,1.54,1.54,1.54,1.64,1.64,1.64,1.64,1.56,1.56,1.56,1.56,1.56,1.807,1.807,1.807,1.807,1.807,1.807,1.807,1.807,1.807,1.807,1.807,1.807,1.807,1.604,1.807,1.807,1.807,1.595,1.595,1.595,1.595,1.595
Jul-2000,1.754,1.665,,,1.478,1.75,,1.549,,1.55,1.55,1.55,1.55,1.55,1.674,1.55,1.55,1.55,1.55,1.67,1.67,1.67,1.67,1.556,1.556,1.556,1.556,1.556,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.64,1.543,1.543,1.543,1.66,1.66,1.66,1.66,1.66
Aug-2000,1.72,1.572,,,1.489,1.678,,1.46,,1.466,1.466,1.466,1.466,1.466,1.63,1.466,1.466,1.466,1.466,1.608,1.608,1.608,1.608,1.465,1.465,1.465,1.465,1.465,1.421,1.421,1.421,1.421,1.421,1.421,1.421,1.421,1.421,1.421,1.421,1.421,1.421,1.59,1.421,1.421,1.421,1.662,1.662,1.662,1.662,1.662
Sep-2000,1.869,1.61,,,1.614,1.668,,1.491,,1.499,1.499,1.499,1.499,1.499,1.639,1.499,1.499,1.499,1.499,1.62,1.62,1.62,1.62,1.509,1.509,1.509,1.509,1.509,1.566,1.566,1.566,1.566,1.566,1.566,1.566,1.566,1.566,1.566,1.566,1.566,1.566,1.634,1.566,1.566,1.566,1.735,1.735,1.735,1.735,1.735
Oct-2000,1.856,1.609,,,1.544,1.664,,1.468,,1.481,1.481,1.481,1.481,1.481,1.624,1.481,1.481,1.481,1.481,1.605,1.605,1.605,1.605,1.496,1.496,1.496,1.496,1.496,1.536,1.536,1.536,1.536,1.536,1.536,1.536,1.536,1.536,1.536,1.536,1.536,1.536,1.651,1.536,1.536,1.536,1.737,1.737,1.737,1.737,1.737
Nov-2000,1.811,1.598,,,1.511,1.663,,1.455,,1.463,1.463,1.463,1.463,1.463,1.619,1.463,1.463,1.463,1.463,1.599,1.599,1.599,1.599,1.479,1.479,1.479,1.479,1.479,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.531,1.636,1.531,1.531,1.531,1.709,1.709,1.709,1.709,1.709
Dec-2000,1.726,1.527,,,1.456,1.632,,1.391,,1.403,1.403,1.403,1.403,1.403,1.585,1.403,1.403,1.403,1.403,1.559,1.559,1.559,1.559,1.417,1.417,1.417,1.417,1.417,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.539,1.433,1.433,1.433,1.653,1.653,1.653,1.653,1.653
Jan-2001,1.646,1.478,,,1.561,1.591,,1.405,,1.417,1.417,1.417,1.417,1.417,1.547,1.417,1.417,1.417,1.417,1.521,1.521,1.521,1.521,1.431,1.431,1.431,1.431,1.431,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.466,1.486,1.486,1.486,1.571,1.571,1.571,1.571,1.571
Feb-2001,1.682,1.512,,,1.569,1.577,,1.422,,1.436,1.436,1.436,1.436,1.436,1.531,1.436,1.436,1.436,1.436,1.515,1.515,1.515,1.515,1.455,1.455,1.455,1.455,1.455,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.467,1.476,1.467,1.467,1.467,1.568,1.568,1.568,1.568,1.568
Mar-2001,1.738,1.472,,,1.426,1.546,,1.361,,1.387,1.387,1.387,1.387,1.387,1.497,1.387,1.387,1.387,1.387,1.476,1.476,1.476,1.476,1.401,1.401,1.401,1.401,1.401,1.404,1.404,1.404,1.404,1.404,1.404,1.404,1.404,1.404,1.404,1.404,1.404,1.404,1.47,1.404,1.404,1.404,1.585,1.585,1.585,1.585,1.585
Apr-2001,1.837,1.601,,,1.624,1.633,,1.522,,1.522,1.522,1.522,1.522,1.522,1.569,1.522,1.522,1.522,1.522,1.573,1.573,1.573,1.573,1.529,1.529,1.529,1.529,1.529,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.558,1.611,1.611,1.611,1.594,1.594,1.594,1.594,1.594
May-2001,1.993,1.789,,,1.821,1.818,,1.633,,1.622,1.622,1.622,1.622,1.622,1.755,1.622,1.622,1.622,1.622,1.737,1.737,1.737,1.737,1.611,1.611,1.611,1.611,1.611,1.818,1.818,1.818,1.818,1.818,1.818,1.818,1.818,1.818,1.818,1.818,1.818,1.818,1.699,1.818,1.818,1.818,1.642,1.642,1.642,1.642,1.642
Jun-2001,1.975,1.766,,,1.622,1.804,,1.566,,1.551,1.551,1.551,1.551,1.551,1.765,1.551,1.551,1.551,1.551,1.724,1.724,1.724,1.724,1.541,1.541,1.541,1.541,1.541,1.619,1.619,1.619,1.619,1.619,1.619,1.619,1.619,1.619,1.619,1.619,1.619,1.619,1.693,1.619,1.619,1.619,1.659,1.659,1.659,1.659,1.659
Jul-2001,1.817,1.54,,,1.384,1.671,,1.357,,1.352,1.352,1.352,1.352,1.352,1.618,1.352,1.352,1.352,1.352,1.596,1.596,1.596,1.596,1.358,1.358,1.358,1.358,1.358,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.544,1.34,1.34,1.34,,,,,
Aug-2001,1.608,1.472,,,1.601,1.574,,1.336,,1.338,1.338,1.338,1.338,1.338,1.502,1.338,1.338,1.338,1.338,1.504,1.504,1.504,1.504,1.341,1.341,1.341,1.341,1.341,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.502,1.471,1.502,1.502,1.502,,,,,
Sep-2001,1.708,1.669,,,1.739,1.561,,1.422,,1.424,1.424,1.424,1.424,1.424,1.491,1.424,1.424,1.424,1.424,1.495,1.495,1.495,1.495,1.419,1.419,1.419,1.419,1.419,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.661,1.609,1.661,1.661,1.661,,,,,
Oct-2001,1.592,1.466,,,1.29,1.469,,1.269,,1.275,1.275,1.275,1.275,1.275,1.408,1.275,1.275,1.275,1.275,1.38,1.38,1.38,1.38,1.266,1.266,1.266,1.266,1.266,1.281,1.281,1.281,1.281,1.281,1.281,1.281,1.281,1.281,1.281,1.281,1.281,1.281,1.498,1.281,1.281,1.281,,,,,
Nov-2001,1.403,1.215,,,1.176,1.339,,1.116,,1.126,1.126,1.126,1.126,1.126,1.267,1.126,1.126,1.126,1.126,1.243,1.243,1.243,1.243,1.12,1.12,1.12,1.12,1.12,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.3,1.16,1.16,1.16,,,,,
Dec-2001,1.204,1.102,,,1.102,1.236,,1.052,,1.062,1.062,1.062,1.062,1.062,1.166,1.062,1.062,1.062,1.062,1.156,1.156,1.156,1.156,1.065,1.065,1.065,1.065,1.065,1.119,1.119,1.119,1.119,1.119,1.119,1.119,1.119,1.119,1.119,1.119,1.119,1.119,1.153,1.119,1.119,1.119,,,,,
Jan-2002,1.231,1.149,,,1.149,1.253,,1.082,,1.095,1.095,1.095,1.095,1.095,1.192,1.095,1.095,1.095,1.095,1.178,1.178,1.178,1.178,1.11,1.11,1.11,1.11,1.11,1.129,1.129,1.129,1.129,1.129,1.129,1.129,1.129,1.129,1.129,1.129,1.129,1.129,1.156,1.129,1.129,1.129,,,,,
Feb-2002,1.319,1.154,,,1.12,1.252,,1.086,,1.094,1.094,1.094,1.094,1.094,1.195,1.094,1.094,1.094,1.094,1.178,1.178,1.178,1.178,1.102,1.102,1.102,1.102,1.102,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.126,1.149,1.126,1.126,1.126,,,,,
Mar-2002,1.507,1.274,,,1.324,1.332,,1.224,,1.225,1.225,1.225,1.225,1.225,1.285,1.225,1.225,1.225,1.225,1.27,1.27,1.27,1.27,1.226,1.226,1.226,1.226,1.226,1.289,1.289,1.289,1.289,1.289,1.289,1.289,1.289,1.289,1.289,1.289,1.289,1.289,1.253,1.289,1.289,1.289,,,,,
Apr-2002,1.657,1.42,,,1.434,1.516,,1.375,,1.375,1.375,1.375,1.375,1.375,1.441,1.375,1.375,1.375,1.375,1.44,1.44,1.44,1.44,1.399,1.399,1.399,1.399,1.399,1.412,1.412,1.412,1.412,1.412,1.412,1.412,1.412,1.412,1.412,1.412,1.412,1.412,1.426,1.412,1.412,1.412,,,,,
