GEOID,rest_stops
1001021000,1
1003010400,1
1005950500,1
1013952700,2
1017954400,1
1021060102,1
1021060200,1
1021060500,2
1029959800,1
1035960400,2
1039963000,2
1043965401,1
1043965500,1
1045020300,2
1049961400,1
1051030702,2
1063060100,1
1069042100,2
1081041000,2
1083020202,1
1087231500,2
1115040401,1
1115040402,1
1119011600,1
1125010702,2
4001945002,2
4003000100,2
4003000303,2
4005001500,3
4005002200,3
4005002300,1
4005942201,1
4012020100,2
4012020602,2
4013050603,2
4013723305,2
4015954800,2
4019004324,2
4021000802,1
4021941200,1
4021941300,1
4021941400,2
4025001401,1
4025001603,2
4027011201,2
4027012100,2
5019953700,2
5033020302,1
5035030703,1
5047950200,1
5057480200,1
5057480400,1
5059020600,2
5063490800,1
5071951800,1
5071952200,2
5075470200,1
5091020701,1
5091020900,1
5093010200,1
5093011200,1
5093011300,1
5115950800,1
5117460200,1
5117460300,1
5123960200,2
6011000400,4
6015000202,2
6019007801,4
6021010300,4
6023010200,4
6025010102,2
6025011100,4
6025012301,1
6025012400,3
6027000500,3
6027000800,3
6029003306,3
6029003700,4
6029006007,1
6029006500,4
6035040100,3
6035040200,2
6035040500,3
6041131100,2
6045010200,2
6045010600,4
6047002100,4
6051000101,3
6053011400,4
6055201003,1
6057000900,4
6057001204,1
6059075401,1
6061022013,6
6063000202,2
6063000300,2
6063000502,2
6065043810,2
6065044521,4
6065046900,7
6067007107,2
6071008500,2
6071010300,16
6071011800,1
6073016802,1
6073017401,1
6073018400,1
6073018700,5
6073021100,3
6073021202,1
6079010300,2
6081605700,2
6083002932,4
6089012000,1
6089012500,6
6089012601,2
6089012603,2
6093000300,4
6093000400,1
6093000900,4
6095251903,1
6099003300,4
6099003700,4
6103000200,4
6103001100,4
6105000101,2
6105000200,2
6107000301,1
6107000302,2
6107002400,3
6107003100,1
6113011400,4
8005007101,3
8019014900,1
8037000401,2
8037000600,1
8041003802,1
8045951600,8
8045951902,1
8045952002,2
8045952100,2
8063962100,1
8069001601,1
8069001605,1
8069002501,2
8071000100,1
8071000300,1
8071000400,2
8071000800,1
8073961800,2
8075966400,2
8077001501,1
8077001800,1
8083969600,1
8087000200,2
8089968400,1
8099000600,1
8101002804,2
8101002918,2
8105977000,1
8107000300,1
8115968300,1
8117000200,1
8117000300,3
9001010101,2
9001030200,1
9001030400,1
9001035300,2
9001060200,2
9001060700,2
9001210800,1
9003430400,1
9007541401,1
9007680100,2
9009150800,1
9009151200,1
9009157200,1
9009157300,1
9009167100,2
9009175800,1
9009184200,2
9009194202,2
9011695201,1
9011703000,1
9011707100,1
9013840100,2
9015907100,1
9015907200,1
10003016901,2
12001002101,2
12003040201,2
12009060102,1
12009065231,2
12009071100,1
12011020502,2
12015010501,2
12021011102,3
12021011202,1
12023110202,1
12023110901,2
12033003603,1
12039020400,2
12047960200,1
12057014013,1
12057014109,1
12059960200,2
12063210400,2
12065250101,1
12065250200,1
12071040115,1
12071040117,1
12073002303,1
12073002304,1
12079110400,2
12083000901,1
12083001006,1
12085001700,2
12086008414,1
12086019400,1
12089050301,1
12091020302,2
12093910102,2
12095014807,2
12097043206,2
12099007765,2
12101032012,1
12101032106,1
12105012404,1
12105012409,1
12109020806,1
12109020901,1
12109021101,1
12109021204,1
12111380800,2
12111382108,2
12113010809,2
12117020808,1
12117021505,1
12119910601,1
12119910602,1
12119911301,2
12121970500,1
13021013409,1
13039010403,1
13047030401,1
13051010700,1
13073030402,1
13073030504,1
13075960100,2
13093970100,1
13093970300,1
13119890102,1
13127000404,1
13129970300,1
13129970800,1
13143010400,1
13145120198,1
13175950600,2
13185011600,1
13207050302,1
13211010200,2
13215010201,1
13215010203,1
13245010104,1
13247060201,1
13287970200,1
13287970300,1
16001010503,4
16005000200,4
16031950100,4
16033950100,3
16047960100,4
16049960400,1
16051960100,3
16053970500,2
16055000601,2
16057005500,1
16071960100,6
16075960300,2
16077960100,2
16077960200,2
17007010400,2
17011964800,2
17019010900,2
17023060200,1
17031770500,1
17031805112,1
17031811600,2
17031820101,2
17031827805,1
17031828300,1
17037001500,2
17039971400,2
17049950100,2
17049950400,2
17055040500,2
17063000102,2
17073031200,2
17075950700,2
17081050400,2
17095001600,2
17097866200,2
17103000900,2
17105960800,2
17113006000,2
17115003000,2
17119403601,1
17119403702,1
17119403801,2
17121951900,1
17121952200,1
17127970400,2
17135957500,2
17163504302,1
17163504303,1
17167003700,1
17167003801,1
17181950100,2
17183010800,1
17193958200,1
17197883602,2
17201004001,1
17203030602,2
18005011100,2
18011810100,2
18019050803,1
18019050804,1
18025952100,1
18035002500,2
18039000801,2
18039001502,1
18039001602,1
18043071101,1
18059410300,1
18059410700,1
18061060200,1
18063210400,2
18063210700,2
18069961700,1
18073100400,2
18087970100,2
18089041800,1
18091041600,1
18091041700,1
18091041800,1
18127050407,1
18129040100,1
18137968400,2
18147952700,2
18151970800,2
18151971500,1
18165020100,1
18167010400,1
18177010500,1
18181958300,2
19001960100,2
19031450500,2
19039960100,1
19039960300,1
19049050809,1
19049050812,1
19053960100,1
19053960200,1
19069360300,2
19085290500,2
19095960200,1
19095960300,1
19099040100,1
19099040900,1
19103010301,1
19103010400,1
19113010700,2
19129040201,2
19133960200,2
19153010101,2
19153010102,1
19153010702,1
19155021400,3
19155021603,2
19163012901,1
19163013706,1
19169000100,2
19193003500,2
19195690200,2
20009971100,1
20013480600,1
20015020600,2
20017960600,2
20045001500,1
20053086600,4
20055960100,2
20057961700,2
20059954100,1
20059954500,3
20061000700,4
20061000800,4
20063955100,4
20069962600,1
20073965600,1
20073965800,1
20079030600,4
20081463100,1
20103071400,2
20111000600,2
20113788300,4
20125950100,1
20137951700,1
20143085600,2
20165972100,1
20167973900,4
20169001100,4
20175965600,2
20177003901,1
20181453600,4
20185470600,1
20191962200,2
20193953400,4
20195955800,4
20197483100,4
20205097400,1
20207096600,1
20209044001,2
21015070301,1
21015070309,1
21015070604,1
21029021101,1
21043960600,2
21047201301,1
21049020300,1
21099970400,2
21117063701,1
21145030800,1
21173920100,1
21183920500,2
21185030601,1
21185030702,1
21205950200,2
21209040303,2
21211040501,1
21213970100,1
21235920700,1
21239050400,2
22013970200,1
22017024301,1
22017024304,3
22019003600,1
22061960700,2
22079010500,2
22097960200,2
22099020100,2
22103040705,1
22103040708,1
22105953300,1
23003952400,1
23003952500,1
23005004401,1
23011010802,4
23017966700,1
23019002000,2
23019007200,1
23019026500,3
23031028001,1
23031028002,1
23031038002,1
24015030906,2
24021752204,1
24021766800,1
24023000100,1
24025301702,2
24027606806,1
24027606907,1
24043000602,1
24043010700,2
24043010900,1
24047951400,1
25003914100,2
25005610202,1
25005630200,1
25005645103,2
25009260302,1
25009262100,1
25009267102,1
25013810414,2
25013813000,2
25017317101,2
25017320102,1
25017358400,1
25017374800,1
25017382500,1
25017383901,1
25023530901,1
25023542102,2
25027756101,1
25027756102,1
25027758101,4
26005030901,1
26005032402,1
26011970200,1
26017285400,1
26017286200,1
26021002400,1
26021010300,1
26021011300,1
26023951000,1
26025001500,1
26025002900,1
26025003800,2
26031960100,1
26031960600,1
26033970300,1
26035000800,2
