GEOID,Mileage.M,Mileage.I,Mileage.U,Mileage.S,Mileage.O,Mileage.C
1001020802,0,12791.1781764884,0,0,0,FALSE
1001020900,0,17618.6711437729,0,0,0,FALSE
1003010100,0,0,0,0,0,FALSE
1003010200,0,16764.6545957074,0,0,0,FALSE
1003010300,0,0,0,0,0,FALSE
1003010400,0,17988.2632961133,0,0,0,FALSE
1003010703,0,0,0,0,0,FALSE
1003010704,0,0,0,0,0,FALSE
1003010705,0,0,0,0,0,FALSE
1003010904,0,9539.70618160472,0,0,0,FALSE
1009050601,0,0,0,0,0,FALSE
1013952700,0,8471.68684996495,0,0,0,FALSE
1013952900,0,4551.82682615349,0,0,0,FALSE
1013953100,0,0,0,0,0,FALSE
1013953300,0,18229.1910591413,0,0,0,FALSE
1013953400,0,0,0,0,0,FALSE
1015001100,0,6151.95021955569,0,0,0,FALSE
1015001201,0,0,0,0,0,FALSE
1015002000,0,0,0,0,0,FALSE
1017954300,0,5137.92322238261,0,0,0,FALSE
1017954400,0,0,0,0,0,FALSE
1017954600,0,0,0,0,0,FALSE
1021060101,0,0,0,0,0,FALSE
1021060102,0,5470.0936122982,0,0,0,FALSE
1021060200,0,11170.9363304606,0,0,0,FALSE
1021060300,0,19448.3588841248,0,0,0,FALSE
1021060401,0,5405.14052988971,0,0,0,FALSE
1021060700,0,0,0,0,0,FALSE
1029959600,0,4572.09536728776,0,0,0,FALSE
1029959700,0,23687.7117599458,0,0,0,FALSE
1029959800,0,0,0,0,0,FALSE
1035960200,0,0,0,0,0,FALSE
1035960300,0,0,0,0,0,FALSE
1035960400,0,14862.9637818682,0,0,0,FALSE
1035960500,0,9407.10432928924,0,0,0,FALSE
1043964300,0,0,0,0,0,FALSE
1043964400,0,6552.68063869612,0,0,0,FALSE
1043964700,0,0,0,0,0,FALSE
1043964800,0,0,0,0,0,FALSE
1043964900,0,0,0,0,0,FALSE
1043965401,0,0,0,0,0,FALSE
1043965402,0,0,0,0,0,FALSE
1043965500,0,8170.57564742548,0,0,0,FALSE
1049960800,0,11980.3657707942,0,0,0,FALSE
1049960900,0,13197.4176109811,0,0,0,FALSE
1049961100,0,0,0,0,0,FALSE
1049961200,0,11016.1779156251,0,0,0,FALSE
1049961400,0,0,0,0,0,FALSE
1051031300,0,8617.26277755742,0,0,0,FALSE
1053969900,0,0,0,0,0,FALSE
1053970300,0,8485.64448547598,0,0,0,FALSE
1053970400,0,24033.5672726938,0,0,0,FALSE
1053970500,0,16848.9157628118,0,0,0,FALSE
1055000400,0,9554.83114821996,0,0,0,FALSE
1055000900,0,1496.89048871498,0,0,0,FALSE
1055001200,0,0,0,0,0,FALSE
1055010100,0,0,0,0,0,FALSE
1055010200,0,6934.03482270089,0,0,0,FALSE
1055010300,0,0,0,0,0,FALSE
1055010402,0,0,0,0,0,FALSE
1055010800,0,0,0,0,0,FALSE
1055010900,0,19995.8937928708,0,0,0,FALSE
1063060100,0,95901.6818433025,0,0,0,FALSE
1063060200,0,0,0,0,0,FALSE
1073000100,0,0,0,0,0,FALSE
1073000300,0,0,0,0,0,FALSE
1073000500,0,0,0,0,0,FALSE
1073000800,0,0,0,0,0,FALSE
1073001500,0,0,0,0,0,FALSE
1073001600,0,0,0,0,0,FALSE
1073001902,0,0,0,0,0,FALSE
1073002400,0,0,0,0,0,FALSE
1073002700,0,0,0,0,0,FALSE
1073002900,0,0,0,0,0,FALSE
1073003100,0,0,0,0,0,FALSE
1073003200,0,0,0,0,0,FALSE
1073005103,0,0,0,0,0,FALSE
1073005903,0,4123.25130846018,0,0,0,FALSE
1073010602,0,0,0,0,0,FALSE
1073010803,0,0,0,0,0,FALSE
1073010805,0,0,0,0,0,FALSE
1073011002,0,6931.75728365464,0,0,0,FALSE
1073011104,0,0,0,0,0,FALSE
1073011107,0,0,0,0,0,FALSE
1073011108,0,4622.29417942343,0,0,0,FALSE
